"Value","Reference","Footprint","LCSC"
"10uF","C1,C8,C10","Capacitor_SMD:C_0805_2012Metric","C2190942"
"1uF","C2","Capacitor_SMD:C_0805_2012Metric","C116352"
"1nF","C3","Capacitor_SMD:C_0805_2012Metric","C2167084"
"10u","C4","Capacitor_SMD:C_0805_2012Metric","C2190942"
"4.7pF","C5","Capacitor_SMD:C_0805_2012Metric","C527074"
"47uF","C6,C7","Capacitor_SMD:C_1206_3216Metric","C2167787"
"22uF","C9,C13,C14","Capacitor_SMD:C_0805_2012Metric","C602037"
"100n","C11","Capacitor_SMD:C_0805_2012Metric","C49678"
"47pF","C12","Capacitor_SMD:C_0805_2012Metric","C107118"
"100nF","C15","Capacitor_SMD:C_0805_2012Metric","C520083"
"220uF","C16","Footprints:Cap_Polarized_220uF","C88729"
"0.1 uF","C17","Capacitor_SMD:C_0805_2012Metric","C49678"
"SMCJ26CA","D1","Footprints:D1_Bi-dir","C151280"
"D","D2,D3,D4,D5,D6,D7,D8,D9","Footprints:Diode_1N4007","C516593"
"8A","F1","Fuse:Fuse_0805_2012Metric","C3158319"
"5A","F2,F3","Fuse:Fuse_0805_2012Metric","C3159342"
"LT8648SEV#PBF","IC1","Footprints:Buck_1","C2840907"
"PRT-14017","J1","Footprints:RPiConnector","C2859067"
"Conn_01x04_Socket","J2","Footprints:EncoderConn","C566011"
"691137710002","J3","Footprints:691137710002-2CONN","C3819953"
"Conn_01x02_Pin","J4,J6,J7,J8","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C5828287"
"XT60PW-M","J5","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","C98732"
"B4B-PH-K-S","J9,J10","Footprints:B4B_PH_K_S","C305985"
"532610771","J11,J12,J13","Footprints:MOLEX_connector","C505276"
"USB4125-GF-A_REVA2","J14","Footprints:GCT_USB4125-GF-A_REVA2","C5246813"
"2.2u","L1","Inductor_SMD:L_0805_2012Metric","C540967"
"6.8u","L2","Inductor_SMD:L_0805_2012Metric","C844992"
"150080VS75000","LED1,LED2,LED3,LED4","LED_SMD:LED_0805_2012Metric",""
"AP63356QZV-7","PS1","Footprints:Buck_2","C3194571"
"AO3400A","Q1,Q2,Q3","Footprints:RGB-FETS","C20917"
"IRFHM9331TRPBF","Q5","Footprints:TRANS_IRFHM9331TRPBF","C148156"
"2M","R1,R2","Resistor_SMD:R_0805_2012Metric","C114532"
"4.4k","R3","Resistor_SMD:R_0805_2012Metric","C273997"
"7.87k","R4","Resistor_SMD:R_0805_2012Metric","C273910"
"38.3k","R5","Resistor_SMD:R_0805_2012Metric","C273970"
"DNP","R6","Resistor_SMD:R_0805_2012Metric",""
"100k","R7","Resistor_SMD:R_0805_2012Metric","C96346"
"5.23k","R8","Resistor_SMD:R_0805_2012Metric","C274009"
"600","R9","Resistor_SMD:R_0805_2012Metric","C137416"
"260","R10","Resistor_SMD:R_0805_2012Metric","C483083"
"2k","R11","Resistor_SMD:R_0805_2012Metric","C273808"
"157k","R12","Resistor_SMD:R_0805_2012Metric","C273954"
"30k","R13","Resistor_SMD:R_0805_2012Metric","C126352"
"5.1k","R84,R85","Resistor_SMD:R_0805_2012Metric","C105874"
"TestPoint","TP-VGSW1","TestPoint:TestPoint_Pad_D2.0mm",""
"BATT_IN","TP1","TestPoint:TestPoint_Pad_D2.0mm",""
"P24V","TP2","TestPoint:TestPoint_Pad_D2.0mm",""
"P12V","TP3,TP6","TestPoint:TestPoint_Pad_D2.0mm",""
"P5V","TP4,TP8","TestPoint:TestPoint_Pad_D2.0mm",""
"P3V3","TP5","TestPoint:TestPoint_Pad_D2.0mm",""
"GND","TP7","TestPoint:TestPoint_Pad_D2.0mm",""
"Motor_Out","TP9","TestPoint:TestPoint_Pad_D2.0mm",""
"AZ1117IH-3.3TRG1","U1","Footprints:LDO","C108495"
"L298N","U2","Package_TO_SOT_THT:TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical","C19922"
"TPD3E001DRLR","U3","Footprints:USBC_ESD_Protection","C470828"
"B2P-VH","X1,X2","Footprints:B2P-VH","C160315"
