Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",132.000000,-93.500000,0.000000,top
"","","",132.000000,-69.500000,0.000000,top
"","","",175.500000,-93.500000,0.000000,top
"C1","1u","C_0805_2012Metric",138.950000,-75.500000,180.000000,top
"C2","10u","C_0805_2012Metric",150.450000,-74.500000,180.000000,top
"C3","500n","C_0805_2012Metric",138.230500,-91.400002,0.000000,top
"C4","80n","C_0805_2012Metric",150.950000,-93.900002,180.000000,top
"C5","10u","C_0805_2012Metric",158.730500,-88.450002,90.000000,top
"C6","10u","C_0805_2012Metric",153.550000,-89.500000,0.000000,top
"C7","10u","C_0805_2012Metric",158.550000,-75.000000,0.000000,top
"C8","1u","C_0805_2012Metric",164.000000,-88.500000,90.000000,top
"C9","1u","C_0805_2012Metric",156.950000,-93.900002,180.000000,top
"C10","1u","C_0805_2012Metric",163.500000,-94.000000,-90.000000,top
"C11","0.47u","C_0805_2012Metric",158.230500,-69.900002,0.000000,top
"J2","532610771","MOLEX_connector",175.400000,-81.500000,90.000000,top
"J3","S2B-ZR-SM4A-TF_LF__SN_","Mic_Conn",132.230500,-79.400002,-90.000000,top
"R1","4.5k","R_0805_2012Metric",139.000000,-70.500000,0.000000,top
"R2","10k","R_0805_2012Metric",144.000000,-69.912500,90.000000,top
"R3","100k","R_0805_2012Metric",144.000000,-80.912500,90.000000,top
"R4","100k","R_0805_2012Metric",144.500000,-75.000000,90.000000,top
"R5","1k","R_0805_2012Metric",144.143000,-94.400002,0.000000,top
"R6","9k","R_0805_2012Metric",147.230500,-87.587500,90.000000,top
"R7","18k","R_0805_2012Metric",164.412500,-76.000000,0.000000,top
"R8","10k","R_0805_2012Metric",169.000000,-88.500000,0.000000,top
"R9","10k","R_0805_2012Metric",169.000000,-94.000000,90.000000,top
"U1","OPA1671IDBVR","Op-Amp",151.865250,-80.450001,0.000000,top
"U2","~","ADC",161.730500,-81.900002,0.000000,top
